participant_id,session_id,trial,value_0,value_1,prediction_error
P001,1,347,0.025033553,-0.025033553,0.974966447
P001,1,348,0.018570323,-0.018570323,0.981429677
P001,1,349,0.013775787,-0.013775787,0.986224213
P001,1,350,0.010219118,-0.010219118,0.989780882
P001,1,351,0.007580719,-0.007580719,0.992419281
P001,1,352,0.005623508,-0.005623508,0.994376492
P001,1,353,0.004171616,0.995828384,0.995828384
P001,1,354,0.261277253,-0.261277253,0.738722747
P001,1,355,0.193819993,-0.193819993,0.806180007
P001,1,356,0.143779028,-0.143779028,0.856220972
P001,1,357,0.106657774,-0.106657774,0.893342226
P001,1,358,0.079120584,-0.079120584,0.920879416
P001,1,359,0.05869302,-0.05869302,0.94130698
P001,1,360,0.043539499,-0.043539499,0.956460501
P001,1,361,0.032298355,-0.032298355,0.967701645
P001,1,362,0.023959479,-0.023959479,0.023959479
P001,1,363,0.017773557,-0.017773557,0.017773557
P001,1,364,0.013184732,0.986815268,-0.986815268
P001,1,365,0.267963339,0.732036661,0.732036661
P001,1,366,0.456962523,0.543037477,0.543037477
P001,1,367,0.597165392,-0.597165392,0.402834608
P001,1,368,0.442987633,0.557012367,-0.557012367
P001,1,369,0.586798577,-0.586798577,0.586798577
P001,1,370,0.43529735,0.56470265,-0.56470265
P001,1,371,0.581093791,0.418906209,-0.418906209
P001,1,372,0.689248117,0.310751883,-0.310751883
P001,1,373,0.76947887,0.23052113,-0.23052113
P001,1,374,0.828995432,-0.828995432,0.828995432
P001,1,375,0.614963173,0.385036827,-0.385036827
P001,1,376,0.714373011,-0.714373011,0.714373011
P001,1,377,0.529934276,-0.529934276,0.529934276
P001,1,378,0.393114426,-0.393114426,0.606885574
P001,1,379,0.291619091,0.708380909,0.708380909
P001,1,380,0.47451077,0.52548923,0.52548923
P001,1,381,0.610182986,-0.610182986,0.610182986
P001,1,382,0.45264431,-0.45264431,0.45264431
P001,1,383,0.33577939,-0.33577939,0.66422061
P001,1,384,0.249086969,0.750913031,0.750913031
P001,1,385,0.442959705,0.557040295,0.557040295
P001,1,386,0.586777859,0.413222141,-0.413222141
P001,1,387,0.693464657,-0.693464657,0.693464657
P001,1,388,0.514424096,0.485575904,0.485575904
P001,1,389,0.639791383,-0.639791383,0.639791383
P001,1,390,0.474608331,0.525391669,0.525391669
P001,1,391,0.610255358,-0.610255358,0.389744642
P001,1,392,0.452697997,0.547302003,0.547302003
P001,1,393,0.594001893,-0.594001893,0.594001893
P001,1,394,0.440640894,-0.440640894,0.559359106
P001,1,395,0.326875049,-0.326875049,0.673124951
P001,1,396,0.242481574,0.757518426,0.757518426
P001,1,397,0.438059709,0.561940291,0.561940291
P001,1,398,0.583142957,0.416857043,-0.416857043
P001,1,399,0.690768224,0.309231776,-0.309231776
P001,1,400,0.770606511,0.229393489,-0.229393489
P001,1,401,0.829831936,0.170168064,-0.170168064
P001,1,402,0.873766382,0.126233618,-0.126233618
P001,1,403,0.906357716,0.093642284,-0.093642284
P001,1,404,0.930534531,0.069465469,-0.069465469
P001,1,405,0.948469312,0.051530688,-0.051530688
P001,1,406,0.961773643,0.038226357,-0.038226357
P001,1,407,0.971643026,0.028356974,-0.028356974
P001,1,408,0.978964305,0.021035695,-0.021035695
P001,1,409,0.984395357,0.015604643,-0.015604643
P001,1,410,0.988424206,0.011575794,-0.011575794
P001,1,411,0.991412875,-0.991412875,0.991412875
P001,1,412,0.735447246,0.264552754,-0.264552754
P001,1,413,0.803750184,0.196249816,-0.196249816
P001,1,414,0.854418487,0.145581513,-0.145581513
P001,1,415,0.892005111,0.107994889,0.107994889
P001,1,416,0.919887521,0.080112479,-0.080112479
P001,1,417,0.940571175,0.059428825,-0.059428825
P001,1,418,0.955914668,0.044085332,-0.044085332
P001,1,419,0.967296737,0.032703263,-0.032703263
P001,1,420,0.975740153,0.024259847,-0.024259847
P001,1,421,0.982003625,-0.982003625,0.982003625
P001,1,422,0.728467301,0.271532699,-0.271532699
P001,1,423,0.79857234,0.20142766,-0.20142766
P001,1,424,0.850577472,0.149422528,-0.149422528
P001,1,425,0.88915578,0.11084422,-0.11084422
P001,1,426,0.917773838,-0.917773838,0.917773838
P001,1,427,0.680820532,0.319179468,-0.319179468
P001,1,428,0.763227141,0.236772859,-0.236772859
P001,1,429,0.824357792,0.175642208,-0.175642208
P001,1,430,0.869705567,0.130294433,-0.130294433
P001,1,431,0.903345332,0.096654668,-0.096654668
P001,1,432,0.928299893,0.071700107,-0.071700107
P001,1,433,0.946811619,0.053188381,-0.053188381
P001,1,434,0.960543937,-0.960543937,0.960543937
P001,1,435,0.712548133,-0.712548133,0.712548133
P001,1,436,0.528580549,0.471419451,0.471419451
P001,1,437,0.650292885,-0.650292885,0.349707115
P001,1,438,0.482398527,-0.482398527,0.517601473
P001,1,439,0.357851585,-0.357851585,0.357851585
P001,1,440,0.265460505,-0.265460505,0.734539495
P001,1,441,0.196923201,-0.196923201,0.803076799
P001,1,442,0.146081042,0.853918958,0.853918958
P001,1,443,0.366548124,-0.366548124,0.633451876
P001,1,444,0.271911748,0.728088252,-0.728088252
P001,1,445,0.459891522,0.540108478,-0.540108478
P001,1,446,0.599338174,-0.599338174,0.400661826
P001,1,447,0.44459944,0.55540056,0.55540056
P001,1,448,0.587994243,-0.587994243,0.412005757
P001,1,449,0.436184316,-0.436184316,0.436184316
P001,1,450,0.323569082,-0.323569082,0.323569082
P001,1,451,0.24002915,-0.24002915,0.75997085
P001,1,452,0.178057782,-0.178057782,0.821942218
P001,1,453,0.132086347,-0.132086347,0.867913653
P001,1,454,0.097983941,0.902016059,0.902016059
P001,1,455,0.330868861,-0.330868861,0.669131139
P001,1,456,0.245444253,-0.245444253,0.245444253
P001,1,457,0.182074799,-0.182074799,0.817925201
P001,1,458,0.13506624,-0.13506624,0.86493376
P001,1,459,0.100194477,0.899805523,0.899805523
P001,1,460,0.332508675,-0.332508675,0.667491325
P001,1,461,0.246660695,-0.246660695,0.753339305
P001,1,462,0.182977177,-0.182977177,0.817022823
P001,1,463,0.13573564,-0.13573564,0.86426436
P001,1,464,0.100691049,-0.100691049,0.899308951
P001,1,465,0.074694364,-0.074694364,0.925305636
P001,1,466,0.055409574,-0.055409574,0.944590426
P001,1,467,0.041103782,-0.041103782,0.958896218
P001,1,468,0.030491497,0.969508503,0.969508503
P001,1,469,0.280801797,0.719198203,0.719198203
P001,1,470,0.466486314,0.533513686,0.533513686
P001,1,471,0.604230305,-0.604230305,0.604230305
P001,1,472,0.448228508,-0.448228508,0.448228508
P001,1,473,0.332503672,0.667496328,-0.667496328
P001,1,474,0.50483966,-0.50483966,0.50483966
P001,1,475,0.374498806,0.625501194,0.625501194
P001,1,476,0.535992378,0.464007622,0.464007622
P001,1,477,0.655791108,-0.655791108,0.655791108
P001,1,478,0.486477205,-0.486477205,0.486477205
P001,1,479,0.360877218,0.639122782,0.639122782
P001,1,480,0.525887648,0.474112352,0.474112352
P001,1,481,0.648295244,-0.648295244,0.351704756
P001,1,482,0.480916643,-0.480916643,0.519083357
P001,1,483,0.356752297,-0.356752297,0.643247703
P001,1,484,0.264645034,-0.264645034,0.735354966
P001,1,485,0.196318271,0.803681729,0.803681729
P001,1,486,0.403814971,-0.403814971,0.596185029
P001,1,487,0.299556941,0.700443059,0.700443059
P001,1,488,0.480399204,0.519600796,0.519600796
P001,1,489,0.614551128,-0.614551128,0.385448872
P001,1,490,0.455884673,0.544115327,-0.544115327
P001,1,491,0.596365825,0.403634175,-0.403634175
P001,1,492,0.700577176,-0.700577176,0.700577176
P001,1,493,0.519700286,-0.519700286,0.480299714
P001,1,494,0.385522675,0.614477325,0.614477325
P001,1,495,0.544170075,-0.544170075,0.544170075
P001,1,496,0.403674789,0.596325211,-0.596325211
P001,1,497,0.557635628,-0.557635628,0.557635628
P001,1,498,0.413663769,-0.413663769,0.413663769
P001,1,499,0.30686295,0.69313705,0.69313705
P001,1,500,0.485818929,0.514181071,0.514181071
P001,1,501,0.618571574,0.381428426,0.381428426
P001,1,502,0.717049786,0.282950214,-0.282950214
P001,1,503,0.790102629,-0.790102629,0.790102629
P001,1,504,0.586111818,-0.586111818,0.413888182
P001,1,505,0.4347879,-0.4347879,0.5652121
P001,1,506,0.322533197,-0.322533197,0.677466803
P001,1,507,0.239260713,-0.239260713,0.760739287
P001,1,508,0.177487742,-0.177487742,0.822512258
P001,1,509,0.131663481,-0.131663481,0.868336519
P001,1,510,0.097670251,-0.097670251,0.902329749
P001,1,511,0.072453485,-0.072453485,0.927546515
P001,1,512,0.05374725,0.94625275,0.94625275
P001,1,513,0.298053317,-0.298053317,0.701946683
P001,1,514,0.221101114,-0.221101114,0.778898886
P001,1,515,0.164016637,-0.164016637,0.835983363
P001,1,516,0.121670383,-0.121670383,0.878329617
P001,1,517,0.090257198,-0.090257198,0.909742802
P001,1,518,0.066954353,-0.066954353,0.933045647
P001,1,519,0.049667899,-0.049667899,0.950332101
P001,1,520,0.036844508,-0.036844508,0.963155492
P001,1,521,0.027331894,-0.027331894,0.972668106
P001,1,522,0.020275273,0.979724727,0.979724727
P001,1,523,0.273223225,-0.273223225,0.726776775
P001,1,524,0.202681721,-0.202681721,0.797318279
